company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added,year,month
Smartsheet,Seattle,120.0,2025-10-02,0.0,Other,https://www.geekwire.com/2025/smartsheet-cuts-jobs-shortly-after-departure-of-longtime-ceo/,Post-IPO,$152,United States,10/6/2025,2025,October
Google,SF Bay Area,50.0,2025-10-02,0.0,Consumer,https://www.sfchronicle.com/tech/article/google-bay-area-layoffs-21081705.php,Post-IPO,$26,United States,10/6/2025,2025,October
Paycom,Oklahoma City,500.0,2025-10-01,0.0,HR,https://www.oklahoman.com/story/business/information-technology/2025/10/01/paycom-layoffs-2025-workers-replaced-with-ai/86448337007/,Post-IPO,,United States,10/1/2025,2025,October
Google,SF Bay Area,100.0,2025-10-01,0.0,Consumer,https://www.cnbc.com/2025/10/01/google-cloud-unit-layoffs.html,Post-IPO,$26,United States,10/6/2025,2025,October
Simpl,"Bengaluru,Non-U.S.",80.0,2025-10-01,0.0,Finance,https://inc42.com/buzz/bnpl-startup-simpl-lays-off-80-employees-after-rbi-whiplash/,Series B,$72,India,10/1/2025,2025,October
Just Eat,"Amsterdam,Non-U.S.",450.0,2025-09-25,0.0,Food,https://www.reuters.com/business/world-at-work/just-eat-lay-off-around-450-employees-partly-automating-operations-2025-09-25/,Acquired,$129,Netherlands,9/29/2025,2025,September
GamesKraft,"Bengaluru,Non-U.S.",120.0,2025-09-18,0.0,Consumer,https://inc42.com/buzz/now-gameskraft-lays-off-120-employees/,Unknown,,India,9/25/2025,2025,September
ZipRecruiter,"Tel Aviv,Non-U.S.",80.0,2025-09-16,0.0,Recruiting,https://www.calcalistech.com/ctechnews/article/pwjukv20s,Post-IPO,$769,United States,9/16/2025,2025,September
Fiverr,"Tel Aviv,Non-U.S.",250.0,2025-09-15,0.0,Other,https://www.wsj.com/business/fiverr-to-cut-about-250-jobs-in-refocusing-effort-reiterates-guidance-8f15ee4b,Post-IPO,$111,Israel,9/16/2025,2025,September
Hike,"New Delhi,Non-U.S.",0.0,2025-09-13,0.0,Consumer,https://techcrunch.com/2025/09/13/hike-once-a-unicorn-shuts-down-as-india-cracks-down-on-real-money-gaming/,Unknown,$261,India,9/15/2025,2025,September
